wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1551.70000000	0.47332305	0.08956439	0.05207858	0.00702385	0.00625005	0.00624322	0.00622707	0.00623052	0.00617381
1551.80000000	0.56617043	0.02731663	0.00966312	0.00638678	0.00627527	0.00625269	0.00624191	0.00624094	0.00618537
1551.90000000	0.61362342	0.01405223	0.00630931	0.00629546	0.00627329	0.00626152	0.00624795	0.00625002	0.00619683
1552.00000000	0.50859428	0.09183685	0.01075248	0.00823963	0.00972906	0.00675608	0.00639068	0.00635680	0.00652743
1552.10000000	0.39975213	0.16258485	0.03231790	0.01891881	0.01958853	0.00924989	0.00727476	0.00723314	0.01317537
1552.20000000	0.28516698	0.17616520	0.05675969	0.03535872	0.03911035	0.01640033	0.01002682	0.00991511	0.03847733
1552.30000000	0.21519970	0.15710314	0.06822773	0.04595458	0.05269900	0.02391011	0.01369739	0.01356623	0.08765785
1552.40000000	0.16197788	0.12944166	0.06872897	0.05110724	0.05783926	0.02909906	0.01677876	0.01654600	0.14880644
1552.50000000	0.12350313	0.10682477	0.06353021	0.04936455	0.05670865	0.03096161	0.01872239	0.01847536	0.20997889
1552.60000000	0.09774711	0.08652500	0.05733619	0.04626994	0.05308043	0.03172555	0.01969154	0.01955863	0.25894561
1552.70000000	0.07868444	0.07140978	0.05102933	0.04184178	0.04777481	0.03055246	0.01988395	0.01955001	0.29830911
1552.80000000	0.06478461	0.05966722	0.04606366	0.03828409	0.04342967	0.02910547	0.01937843	0.01941982	0.34354814
1552.90000000	0.05513180	0.05096307	0.04070599	0.03514052	0.03893762	0.02699875	0.01878378	0.01900024	0.38368909
1553.00000000	0.04695573	0.04377168	0.03625359	0.03191954	0.03474997	0.02506040	0.01815914	0.01805204	0.39384175
1553.10000000	0.04129810	0.03874537	0.03260870	0.02909688	0.03183435	0.02395737	0.01747241	0.01754452	0.41673227
1553.20000000	0.03587918	0.03420819	0.02953522	0.02673577	0.02889479	0.02236691	0.01687074	0.01670914	0.43666016
1553.30000000	0.03155302	0.03042120	0.02762068	0.02489271	0.02661765	0.02108502	0.01608138	0.01621502	0.45780915
1553.40000000	0.02883375	0.02776422	0.02529047	0.02312230	0.02459212	0.01977299	0.01552148	0.01590899	0.48492904
1553.50000000	0.02629935	0.02519777	0.02345420	0.02169605	0.02283727	0.01890241	0.01485428	0.01514288	0.48930605
1553.60000000	0.02407004	0.02359463	0.02195632	0.02049354	0.02146800	0.01793499	0.01462926	0.01469918	0.49319865
1553.70000000	0.02232706	0.02172580	0.02050130	0.01930612	0.02019994	0.01726831	0.01405204	0.01409662	0.51025455
1553.80000000	0.02062817	0.02023119	0.01952545	0.01823895	0.01905079	0.01639153	0.01356166	0.01365311	0.52714439
1553.90000000	0.01952834	0.01885012	0.01856998	0.01716194	0.01814585	0.01567324	0.01318476	0.01342745	0.52167714
1554.00000000	0.01812453	0.01793227	0.01763648	0.01654206	0.01724505	0.01519577	0.01276127	0.01282531	0.53484636
1554.10000000	0.01740835	0.01718574	0.01679245	0.01593168	0.01624136	0.01443810	0.01240816	0.01239673	0.51313078
1554.20000000	0.01670758	0.01608934	0.01591057	0.01532211	0.01575600	0.01407638	0.01215743	0.01223564	0.53140305
1554.30000000	0.01593825	0.01533991	0.01540723	0.01462191	0.01511728	0.01344707	0.01178309	0.01183230	0.54577359
1554.40000000	0.01499262	0.01445181	0.01498511	0.01410629	0.01465274	0.01320192	0.01160727	0.01180211	0.53413884
1554.50000000	0.01453832	0.01422145	0.01429690	0.01364807	0.01397148	0.01281470	0.01132842	0.01133536	0.53215617
1554.60000000	0.01413352	0.01358788	0.01395164	0.01322413	0.01350465	0.01243219	0.01107932	0.01109311	0.52745104
1554.70000000	0.01367123	0.01316123	0.01335914	0.01292525	0.01311010	0.01204439	0.01092085	0.01101280	0.54230497
1554.80000000	0.01315739	0.01279042	0.01295862	0.01250755	0.01268849	0.01178645	0.01071857	0.01069380	0.53494497
1554.90000000	0.01289762	0.01227577	0.01278247	0.01219132	0.01252029	0.01157700	0.01056300	0.01059755	0.53781980
1555.00000000	0.01267078	0.01227771	0.01242414	0.01193088	0.01212395	0.01129179	0.01042102	0.01036260	0.52605895
