wavelength	drop1	drop2	drop3	drop4	drop5	drop6	drop7	drop8	through
1535.10000000	0.01758470	0.01730686	0.01441141	0.01417013	0.01448136	0.01329564	0.01169949	0.01214492	0.71282005
1535.20000000	0.01689567	0.01657454	0.01409310	0.01376468	0.01410843	0.01302288	0.01152715	0.01191367	0.72251561
1535.30000000	0.01602207	0.01581806	0.01371967	0.01346466	0.01364742	0.01268607	0.01130988	0.01168832	0.72804869
1535.40000000	0.01534941	0.01513117	0.01323250	0.01300699	0.01308762	0.01235271	0.01109304	0.01139465	0.73134893
1535.50000000	0.01503572	0.01470886	0.01277673	0.01260967	0.01276245	0.01205066	0.01080204	0.01116726	0.73145852
1535.60000000	0.01461436	0.01430974	0.01242402	0.01238050	0.01243925	0.01166305	0.01066681	0.01091877	0.72884795
1535.70000000	0.01420747	0.01385989	0.01217266	0.01204232	0.01215564	0.01148474	0.01047877	0.01074786	0.73496728
1535.80000000	0.01384247	0.01333648	0.01188356	0.01171731	0.01185332	0.01121637	0.01029764	0.01056639	0.73177819
1535.90000000	0.01351061	0.01286863	0.01157743	0.01151973	0.01148210	0.01103672	0.01009841	0.01037122	0.73503425
1536.00000000	0.01301627	0.01259174	0.01134696	0.01119586	0.01122284	0.01070903	0.00995179	0.01015456	0.73658504
1536.10000000	0.01274095	0.01244682	0.01105507	0.01103355	0.01098190	0.01054055	0.00979389	0.00996319	0.73431637
1536.20000000	0.01239997	0.01192085	0.01079813	0.01078383	0.01070970	0.01029069	0.00963050	0.00987950	0.74452322
1536.30000000	0.01231855	0.01163419	0.01056487	0.01047932	0.01045318	0.01007555	0.00946290	0.00965723	0.72868656
1536.40000000	0.01182967	0.01135335	0.01037940	0.01037229	0.01023615	0.00991076	0.00930492	0.00954592	0.73411750
1536.50000000	0.01164881	0.01122316	0.01020158	0.01019449	0.01010321	0.00981991	0.00922654	0.00943256	0.73371394
1536.60000000	0.01142782	0.01101690	0.01007462	0.01008171	0.01001558	0.00971726	0.00913900	0.00933298	0.74116720
1536.70000000	0.01118758	0.01072055	0.00989263	0.00996339	0.00982552	0.00952183	0.00906923	0.00927742	0.74480016
1536.80000000	0.01088383	0.01049538	0.00971846	0.00971846	0.00971493	0.00943892	0.00893731	0.00912391	0.73771149
1536.90000000	0.01063569	0.01043156	0.00960802	0.00958690	0.00956262	0.00927987	0.00882699	0.00902393	0.74109441
1537.00000000	0.01056822	0.01032326	0.00947640	0.00951840	0.00940023	0.00917741	0.00868442	0.00891916	0.74414101
1537.10000000	0.01009829	0.00982761	0.00923768	0.00931402	0.00918563	0.00905126	0.00856460	0.00880765	0.74560839
1537.20000000	0.00993699	0.00978580	0.00907111	0.00913296	0.00901693	0.00885354	0.00844424	0.00860312	0.73392865
1537.30000000	0.00962809	0.00957366	0.00888642	0.00896127	0.00883006	0.00870529	0.00829649	0.00845244	0.73002058
1537.40000000	0.00958065	0.00950643	0.00878451	0.00877776	0.00871254	0.00852421	0.00817472	0.00833395	0.72371223
1537.50000000	0.00941959	0.00935921	0.00868159	0.00869501	0.00857558	0.00846837	0.00805120	0.00824402	0.72595542
1537.60000000	0.00923431	0.00914725	0.00851110	0.00863163	0.00850172	0.00838400	0.00800097	0.00817775	0.71896926
1537.70000000	0.00908644	0.00897923	0.00845655	0.00851016	0.00842975	0.00831999	0.00794728	0.00812687	0.71728252
1537.80000000	0.00893335	0.00894006	0.00835613	0.00849708	0.00834730	0.00823573	0.00788604	0.00802525	0.70841644
1537.90000000	0.00903559	0.00896169	0.00844441	0.00847129	0.00834275	0.00818739	0.00784235	0.00799082	0.71147553
1538.00000000	0.00880805	0.00882817	0.00828480	0.00833176	0.00824734	0.00810421	0.00783453	0.00798574	0.72156718
1538.10000000	0.00887882	0.00863849	0.00820456	0.00823794	0.00813569	0.00798386	0.00773392	0.00782911	0.70464350
1538.20000000	0.00873521	0.00845685	0.00806582	0.00808571	0.00798165	0.00786103	0.00761382	0.00775499	0.70104011
1538.30000000	0.00871117	0.00851393	0.00794196	0.00800770	0.00787643	0.00777812	0.00754091	0.00761823	0.70893832
1538.40000000	0.00844517	0.00835380	0.00785779	0.00794263	0.00781700	0.00769998	0.00745903	0.00759660	0.70111471
1538.50000000	0.00842137	0.00813568	0.00779805	0.00777857	0.00773431	0.00761481	0.00734925	0.00750638	0.70567045
1538.60000000	0.00839227	0.00809417	0.00771830	0.00770534	0.00765663	0.00757132	0.00732791	0.00742175	0.69958384
1538.70000000	0.00829970	0.00808573	0.00766426	0.00772261	0.00763130	0.00756272	0.00731022	0.00740282	0.70331076
1538.80000000	0.00823728	0.00807487	0.00760064	0.00771758	0.00758159	0.00740043	0.00727791	0.00736665	0.72089352
1538.90000000	0.00825389	0.00802606	0.00759644	0.00769408	0.00757181	0.00749685	0.00726511	0.00739231	0.72377033
1539.00000000	0.00820338	0.00789714	0.00759741	0.00762348	0.00754160	0.00743478	0.00724348	0.00734630	0.72031731
1539.10000000	0.00800712	0.00785739	0.00754492	0.00756445	0.00748080	0.00740405	0.00720133	0.00730327	0.71180655
1539.20000000	0.00798110	0.00782525	0.00745509	0.00755250	0.00740985	0.00735223	0.00717221	0.00727131	0.71945211
1539.30000000	0.00791604	0.00768950	0.00735292	0.00746943	0.00730405	0.00729622	0.00706657	0.00721272	0.71300417
1539.40000000	0.00785638	0.00766288	0.00732101	0.00738552	0.00727748	0.00720943	0.00704456	0.00712235	0.71313181
1539.50000000	0.00757576	0.00756933	0.00725421	0.00733138	0.00722838	0.00718733	0.00697703	0.00710141	0.71025968
1539.60000000	0.00759282	0.00759924	0.00723340	0.00727833	0.00717596	0.00714983	0.00694766	0.00707756	0.70716345
1539.70000000	0.00762939	0.00756528	0.00721907	0.00726395	0.00717569	0.00713175	0.00694634	0.00705751	0.70547633
