2017	628
2016	482
2015	364
2014	300
2013	228
2012	191
2011	180
2010	120
2009	107
2008	72
2007	89
2006	54
2005	64
2004	50
2003	50
2002	21
2001	36
2000	25
1999	36
1998	15
1997	25
1996	17
1995	13
1994	20
1993	14
1992	16
1991	14
1990	15
1989	18
1988	10
1987	9
