1.00000	2.40605	2.41275	2.41088	2.39782	2.40138	2.40154	2.41405	2.42987	2.40818	2.44349
2.00000	2.40597	2.41249	2.41084	2.39457	2.40135	2.39523	2.41349	2.42908	2.40699	2.43914
3.00000	2.40587	2.41215	2.41101	2.39104	2.40126	2.39367	2.41246	2.42786	2.40646	2.43490
4.00000	2.40575	2.41194	2.41108	2.39116	2.40121	2.39337	2.41017	2.42743	2.40647	2.43751
5.00000	2.40564	2.41184	2.41090	2.39056	2.40116	2.39252	2.40801	2.42805	2.40533	2.43618
6.00000	2.40551	2.41174	2.41072	2.38977	2.40112	2.39248	2.40668	2.42430	2.40495	2.43831
7.00000	2.40539	2.41157	2.41053	2.38922	2.40108	2.39175	2.40624	2.42473	2.40479	2.43405
8.00000	2.40527	2.41138	2.41034	2.38904	2.40104	2.39032	2.40602	2.42342	2.40417	2.43584
9.00000	2.40515	2.41119	2.41014	2.38804	2.40101	2.38988	2.40589	2.42185	2.40434	2.43097
10.00000	2.40509	2.41097	2.40993	2.38728	2.40097	2.38932	2.40577	2.42071	2.40384	2.42562
11.00000	2.40504	2.41082	2.40971	2.38686	2.40093	2.38898	2.40566	2.41941	2.40396	2.42396
12.00000	2.40498	2.41066	2.40950	2.38661	2.40090	2.38868	2.40556	2.41982	2.40345	2.42289
13.00000	2.40493	2.41056	2.40926	2.38631	2.40086	2.38731	2.40546	2.41993	2.40329	2.42230
14.00000	2.40487	2.41047	2.40852	2.38603	2.40082	2.38731	2.40537	2.41931	2.40349	2.42094
15.00000	2.40482	2.41039	2.40845	2.38574	2.40075	2.38693	2.40528	2.41725	2.40282	2.42112
16.00000	2.40477	2.41031	2.40829	2.38565	2.40071	2.38767	2.40519	2.41231	2.40310	2.42093
17.00000	2.40474	2.41023	2.40813	2.38559	2.40067	2.38865	2.40509	2.41262	2.40273	2.42033
18.00000	2.40468	2.41015	2.40796	2.38539	2.40062	2.38706	2.40501	2.40795	2.40275	2.41944
19.00000	2.40464	2.41008	2.40777	2.38521	2.40060	2.38722	2.40492	2.40783	2.40260	2.42393
20.00000	2.40459	2.41000	2.40759	2.38504	2.40054	2.38680	2.40483	2.40611	2.40241	2.42070
21.00000	2.40455	2.40993	2.40740	2.38488	2.40050	2.38700	2.40475	2.40480	2.40218	2.41670
22.00000	2.40451	2.40985	2.40727	2.38469	2.40045	2.38636	2.40466	2.40115	2.40233	2.41615
23.00000	2.40446	2.40978	2.40711	2.38428	2.40041	2.38640	2.40458	2.40013	2.40231	2.41662
24.00000	2.40442	2.40970	2.40690	2.38402	2.40038	2.38616	2.40450	2.39936	2.40234	2.41489
25.00000	2.40438	2.40963	2.40677	2.38388	2.40033	2.38583	2.40442	2.39734	2.40226	2.41461
26.00000	2.40434	2.40955	2.40660	2.38375	2.40029	2.38559	2.40434	2.39662	2.40209	2.41463
27.00000	2.40429	2.40948	2.40645	2.38362	2.40024	2.38764	2.40426	2.39579	2.40191	2.41465
28.00000	2.40425	2.40941	2.40631	2.38351	2.40019	2.38749	2.40418	2.39556	2.40183	2.41413
29.00000	2.40422	2.40933	2.40617	2.38351	2.40016	2.38768	2.40410	2.39556	2.40208	2.41376
30.00000	2.40417	2.40926	2.40604	2.38371	2.40012	2.38695	2.40403	2.39524	2.40198	2.41331
31.00000	2.40413	2.40919	2.40590	2.38377	2.40009	2.38658	2.40395	2.39510	2.40178	2.41253
32.00000	2.40409	2.40911	2.40576	2.38360	2.40005	2.38633	2.40388	2.39541	2.40170	2.41087
33.00000	2.40405	2.40904	2.40563	2.38327	2.40001	2.38467	2.40380	2.39532	2.40167	2.41077
34.00000	2.40401	2.40897	2.40543	2.38252	2.39985	2.38366	2.40373	2.39518	2.40177	2.41067
