Power	0.10	3.66	7.21	10.77	14.33	17.89	21.44	25.00
-2.00000000e+00	6.02414100e-04	2.19598401e-02	4.31801452e-02	6.42656295e-02	8.52185309e-02	1.06041028e-01	1.26735240e-01	1.47303233e-01
-1.99002592e+00	6.08152245e-04	2.21679741e-02	4.35873940e-02	6.48688002e-02	8.60145154e-02	1.07026799e-01	1.27907851e-01	1.48659811e-01
-1.98005171e+00	6.13973913e-04	2.23791130e-02	4.40004749e-02	6.54805397e-02	8.68217186e-02	1.08026356e-01	1.29096734e-01	1.50035070e-01
-1.97007737e+00	6.19880714e-04	2.25933138e-02	4.44194973e-02	6.61010071e-02	8.76403465e-02	1.09039949e-01	1.30302180e-01	1.51429342e-01
-1.96010290e+00	6.25874298e-04	2.28106352e-02	4.48445735e-02	6.67303652e-02	8.84706093e-02	1.10067832e-01	1.31524488e-01	1.52842964e-01
-1.95012830e+00	6.31956351e-04	2.30311371e-02	4.52758183e-02	6.73687802e-02	8.93127223e-02	1.11110267e-01	1.32763961e-01	1.54276281e-01
-1.94015357e+00	6.38128603e-04	2.32548807e-02	4.57133491e-02	6.80164226e-02	9.01669053e-02	1.12167520e-01	1.34020910e-01	1.55729646e-01
-1.93017871e+00	6.44392825e-04	2.34819290e-02	4.61572860e-02	6.86734664e-02	9.10333833e-02	1.13239864e-01	1.35295653e-01	1.57203417e-01
-1.92020372e+00	6.50750830e-04	2.37123463e-02	4.66077521e-02	6.93400898e-02	9.19123863e-02	1.14327578e-01	1.36588514e-01	1.58697962e-01
-1.91022861e+00	6.57204476e-04	2.39461982e-02	4.70648733e-02	7.00164751e-02	9.28041493e-02	1.15430946e-01	1.37899825e-01	1.60213656e-01
-1.90025336e+00	6.63755668e-04	2.41835524e-02	4.75287785e-02	7.07028087e-02	9.37089129e-02	1.16550260e-01	1.39229924e-01	1.61750884e-01
-1.89027798e+00	6.70406355e-04	2.44244778e-02	4.79995995e-02	7.13992815e-02	9.46269232e-02	1.17685818e-01	1.40579157e-01	1.63310035e-01
-1.88030248e+00	6.77158538e-04	2.46690452e-02	4.84774715e-02	7.21060888e-02	9.55584317e-02	1.18837923e-01	1.41947878e-01	1.64891511e-01
-1.87032684e+00	6.84014265e-04	2.49173271e-02	4.89625327e-02	7.28234304e-02	9.65036959e-02	1.20006887e-01	1.43336449e-01	1.66495719e-01
-1.86035107e+00	6.90975637e-04	2.51693977e-02	4.94549249e-02	7.35515109e-02	9.74629792e-02	1.21193029e-01	1.44745239e-01	1.68123077e-01
-1.85037518e+00	6.98044807e-04	2.54253331e-02	4.99547929e-02	7.42905396e-02	9.84365509e-02	1.22396673e-01	1.46174626e-01	1.69774012e-01
-1.84039915e+00	7.05223982e-04	2.56852112e-02	5.04622854e-02	7.50407310e-02	9.94246867e-02	1.23618153e-01	1.47624996e-01	1.71448960e-01
-1.83042300e+00	7.12515427e-04	2.59491119e-02	5.09775546e-02	7.58023044e-02	1.00427669e-01	1.24857808e-01	1.49096744e-01	1.73148365e-01
-1.82044671e+00	7.19921461e-04	2.62171172e-02	5.15007562e-02	7.65754846e-02	1.01445786e-01	1.26115988e-01	1.50590274e-01	1.74872683e-01
