Power	350	362	375	387	400	412	425	437	450	462	475	487	500	512	525	537	550
1.00000000e+00	2.18213785e+03	2.07153070e+03	1.96829438e+03	1.87188678e+03	1.78179867e+03	1.69755490e+03	1.61871435e+03	1.54486903e+03	1.47564259e+03	1.41068854e+03	1.34968829e+03	1.29234920e+03	1.23840259e+03	1.18760179e+03	1.13972039e+03	1.09455049e+03	1.05190117e+03
1.10996151e+00	2.73206813e+03	2.59075143e+03	2.45914940e+03	2.33651340e+03	2.22214440e+03	2.11539407e+03	2.01566402e+03	1.92240384e+03	1.83510846e+03	1.75331523e+03	1.67660072e+03	1.60457771e+03	1.53689209e+03	1.47322006e+03	1.41326546e+03	1.35675724e+03	1.30344726e+03
1.20997071e+00	3.30135803e+03	3.12692100e+03	2.96487309e+03	2.81421225e+03	2.67400897e+03	2.54340666e+03	2.42161961e+03	2.30792942e+03	2.20168055e+03	2.10227565e+03	2.00917079e+03	1.92187076e+03	1.83992472e+03	1.76292203e+03	1.69048852e+03	1.62228296e+03	1.55799394e+03
1.30232242e+00	3.89175516e+03	3.68146249e+03	3.48662672e+03	3.30593345e+03	3.13817197e+03	2.98223430e+03	2.83711093e+03	2.70188468e+03	2.57572365e+03	2.45787403e+03	2.34765302e+03	2.24444201e+03	2.14768037e+03	2.05685964e+03	1.97151831e+03	1.89123703e+03	1.81563441e+03
1.38854537e+00	4.50526944e+03	4.25599782e+03	4.02572256e+03	3.81274201e+03	3.61550072e+03	3.43258588e+03	3.26271954e+03	3.10474853e+03	2.95763362e+03	2.82043879e+03	2.69232088e+03	2.57251998e+03	2.46035069e+03	2.35519416e+03	2.25649097e+03	2.16373478e+03	2.07646666e+03
1.46971861e+00	5.14422980e+03	4.85238766e+03	4.58365195e+03	4.33583775e+03	4.10696441e+03	3.89524763e+03	3.69908598e+03	3.51704506e+03	3.34784112e+03	3.19032528e+03	3.04346880e+03	2.90634960e+03	2.77814021e+03	2.65809702e+03	2.54555071e+03	2.43989792e+03	2.34059378e+03
1.54663744e+00	5.81135714e+03	5.47278214e+03	5.16212060e+03	4.87657985e+03	4.61365131e+03	4.37109518e+03	4.14691830e+03	3.93934965e+03	3.74681596e+03	3.56791895e+03	3.40141445e+03	3.24619383e+03	3.10126753e+03	2.96575068e+03	2.83885044e+03	2.71985508e+03	2.60812437e+03
1.61990800e+00	6.50985973e+03	6.11968588e+03	5.76309299e+03	5.43651735e+03	5.13678974e+03	4.86110815e+03	4.60700229e+03	4.37229614e+03	4.15507224e+03	3.95363896e+03	3.76650134e+03	3.59233555e+03	3.42996671e+03	3.27834968e+03	3.13655254e+03	3.00374236e+03	2.87917293e+03
1.69000488e+00	7.24355987e+03	6.79604280e+03	6.38884926e+03	6.01742746e+03	5.67777412e+03	5.36638798e+03	5.08021368e+03	4.81658532e+03	4.57317424e+03	4.34794239e+03	4.13910181e+03	3.94507974e+03	3.76448882e+03	3.59610173e+03	3.43882966e+03	3.29170390e+03	3.15386031e+03
1.75730790e+00	8.01706500e+03	7.50534812e+03	7.04205882e+03	6.62136425e+03	6.23819742e+03	5.88817969e+03	5.56753301e+03	5.27299512e+03	5.00174348e+03	4.75132914e+03	4.51962050e+03	4.30475589e+03	4.10510371e+03	3.91922903e+03	3.74586566e+03	3.58389260e+03	3.43231424e+03
1.82212667e+00	8.83600339e+03	8.25179923e+03	7.72587722e+03	7.25072136e+03	6.81989208e+03	6.42789895e+03	6.07006364e+03	5.74239277e+03	5.44146705e+03	5.16434767e+03	4.90849835e+03	4.67172086e+03	4.45210198e+03	4.24796963e+03	4.05785665e+03	3.88047084e+03	3.71466986e+03
1.88471753e+00	9.70735632e+03	9.04050257e+03	8.44407571e+03	7.90831381e+03	7.42498241e+03	6.98716599e+03	6.58905403e+03	6.22574956e+03	5.89310750e+03	5.58760178e+03	5.30621721e+03	5.04636207e+03	4.80579730e+03	4.58257910e+03	4.37501215e+03	4.18161135e+03	4.00107032e+03
1.94529554e+00	1.06399381e+04	9.87776395e+03	9.20121778e+03	8.59748674e+03	8.05595235e+03	7.56784854e+03	7.12592531e+03	6.72415890e+03	6.35751484e+03	6.02175859e+03	5.71330536e+03	5.42910127e+03	5.16652896e+03	4.92333236e+03	4.69755636e+03	4.48749811e+03	4.29166746e+03
